City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Barra,BR,79.41,overcast clouds,-11.0894,-43.1417,Motel Albatroz
83,New Norfolk,AU,77.88,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
84,Aquiraz,BR,85.21,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
86,Tiarei,PF,78.82,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
89,Dera Ghazi Khan,PK,76.89,clear sky,30.0561,70.6348,Hotel KFC One
90,Rikitea,PF,75.96,clear sky,-23.1203,-134.9692,People ThankYou
95,Oistins,BB,78.4,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
102,Suba,PH,84.74,few clouds,10.8438,121.0102,Jarnchi Pension House
130,Dalby,AU,75.51,light rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
131,Dwarka,IN,82.99,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
134,Broken Hill,AU,76.23,moderate rain,-31.95,141.4333,Royal Exchange Hotel
138,Soyo,AO,77.29,moderate rain,-6.1349,12.3689,Hotel Mpampa
140,Katobu,ID,86.43,scattered clouds,-4.9408,122.5276,La Ode Husein
141,Manakara,MG,81.46,scattered clouds,-22.1333,48.0167,La Residence Manakara
142,Hithadhoo,MV,81.16,light rain,-0.6,73.0833,Scoop Guest House
146,Puri,IN,84.72,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
148,Sola,VU,82.81,scattered clouds,-13.8833,167.55,Leumerus Bungalows
151,Pontianak,ID,87.78,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
152,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
155,Madang,PG,85.82,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
157,Mahebourg,MU,81.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
166,Ponnani,IN,83.52,broken clouds,10.767,75.9252,Rouba Residency
167,Auki,SB,83.79,overcast clouds,-8.7676,160.7034,Auki Motel
170,Kimbe,PG,84.38,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
177,Uribia,CO,78.73,overcast clouds,11.7139,-72.266,Hotel Uribia
190,Butaritari,KI,82.33,few clouds,3.0707,172.7902,Isles Sunset Lodge
192,Bandarbeyla,SO,80.4,overcast clouds,9.4942,50.8122,JABIR HOTEL
194,Veraval,IN,84.56,overcast clouds,20.9,70.3667,Lords Inn Somnath
199,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
206,Payyannur,IN,83.8,overcast clouds,12.1,75.2,Kavvayi Beach House
207,Ligaya,PH,87.21,broken clouds,12.6599,120.8923,Apo Reef Club
214,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
216,The Valley,AI,79.11,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
217,Lorengau,PG,79.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
220,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
226,Hienghene,NC,79.83,overcast clouds,-20.6833,164.9333,Ka Waboana Lodge
227,Popondetta,PG,87.49,scattered clouds,-8.7537,148.2534,Timos Transit House
228,Gorontalo,ID,86.94,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
229,Black River,JM,79.99,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
235,Antalaha,MG,77.72,light rain,-14.9003,50.2788,Hotel Vitasoa
240,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
241,Bourail,NC,80.02,overcast clouds,-21.5667,165.4833,Motel Allamanda
243,Akyab,MM,83.34,few clouds,20.15,92.9,Hotel Memory
244,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,Hotel Fórum
245,Teknaf,BD,84.34,clear sky,20.8624,92.3058,Forestry Guesthouse
248,Bambous Virieux,MU,82.22,few clouds,-20.3428,57.7575,Casa Tia Villa
254,Sibolga,ID,85.44,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
257,Bubaque,GW,82.06,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
261,Yulara,AU,81.88,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
262,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
263,Sambava,MG,79.23,light rain,-14.2667,50.1667,Melrose
265,Quatre Cocos,MU,82.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
266,Eluru,IN,87.89,few clouds,16.7,81.1,Sri Krishna Residency - VTR Square Eluru
271,Nieuw Amsterdam,SR,76.01,broken clouds,5.8833,-55.0833,Hotel Stardust
273,Marawi,PH,76.64,overcast clouds,7.9986,124.2928,Derogongan Residence
276,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
280,Mareeba,AU,89.44,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
292,Namatanai,PG,82.42,light rain,-3.6667,152.4333,Seagulls Inn Namatani
293,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
294,Maragogi,BR,76.62,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
296,Matara,LK,86.76,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
302,Guatire,VE,76.21,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
309,Angoche,MZ,82.76,scattered clouds,-16.2325,39.9086,Guest House HESADA
312,Mbour,SN,76.05,broken clouds,14.422,-16.9638,Tama Lodge
317,Samarai,PG,85.77,few clouds,-10.6167,150.6667,Nuli Sapi
318,Yanam,IN,86.4,few clouds,16.7333,82.2167,The Regency Hotel
321,Hambantota,LK,84.13,overcast clouds,6.1241,81.1185,Bungalow 63
322,Kahului,US,76.26,broken clouds,20.8947,-156.47,Maui Seaside Hotel
326,Kourou,GF,81.1,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
330,Dingle,PH,85.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
332,Sao Filipe,CV,79.75,clear sky,14.8961,-24.4956,Hotel Xaguate
340,Kupang,ID,87.64,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
344,Tura,IN,76.46,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
346,Ladnun,IN,75.96,clear sky,27.65,74.3833,Varsha Sanjay Sadan
352,Poso,ID,88.05,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
358,Dakar,SN,76.08,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
363,Tabuk,PH,83.8,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
369,Kavieng,PG,84.47,light rain,-2.5744,150.7967,Nusa Island Retreat
372,Mogadishu,SO,81.37,broken clouds,2.0371,45.3438,Hotel Juba
374,Sabang,ID,81.93,overcast clouds,5.8933,95.3214,Hotel Citra
379,Dicabisagan,PH,81.36,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
382,Xuddur,SO,75.15,scattered clouds,4.1213,43.8894,Banjanay Hotel
383,Saint-Joseph,RE,80.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
385,Cozumel,MX,77.95,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
390,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
392,Singaraja,ID,86.97,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
396,Carlagan,PH,82.0,broken clouds,14.975,122.0456,Cabatagan Island
403,Maumere,ID,86.38,scattered clouds,-8.6199,122.2111,Sylvia Hotel
405,Kariba,ZW,77.43,broken clouds,-16.5167,28.8,Caribbea Bay Hotel
410,Puerto Escondido,MX,77.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
413,Moree,AU,82.42,overcast clouds,-29.4667,149.85,Molika Springs Motel
418,Atar,MR,75.76,overcast clouds,20.5169,-13.0499,Oumou Elghoura
424,Poum,NC,78.3,overcast clouds,-20.2333,164.0167,Gîte kajeon
427,Byron Bay,AU,80.55,scattered clouds,-28.65,153.6167,Backpackers Inn
428,Tuy Hoa,VN,75.2,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
429,Ballina,AU,75.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
434,Banda Aceh,ID,83.86,overcast clouds,5.5577,95.3222,Sulthan Hotel International
436,Gunnedah,AU,83.84,light rain,-30.9833,150.25,Gunnedah Motor Inn
437,Umaria,IN,79.97,clear sky,23.5333,80.8333,Krishna Palace
444,Cockburn Town,TC,81.28,clear sky,21.4612,-71.1419,Osprey Beach Hotel
455,Vao,NC,75.18,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
457,Contamana,PE,75.09,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
460,Formosa,AR,78.78,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
470,Sao Jose Da Coroa Grande,BR,77.31,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
472,Bonthe,SL,78.01,few clouds,7.5264,-12.505,Bonthe Holiday Village
480,Sao Bernardo,BR,76.01,overcast clouds,-3.3614,-42.4178,Hotel Prado
487,Buala,SB,84.38,light rain,-8.145,159.5921,Maringe Lagoon Lodge
492,Baikunthpur,IN,78.03,clear sky,23.25,82.55,Hotel Shree Annpurna inn
493,Kharsawan,IN,81.79,clear sky,22.8,85.8333,Mohan pusty HOME
497,Casambalangan,PH,80.11,broken clouds,18.3765,122.1274,Villa Saturnina
500,Atambua,ID,85.57,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
504,Mersing,MY,84.11,scattered clouds,2.4312,103.8405,Timotel Hotel
512,Voh,NC,83.89,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
513,Kavaratti,IN,81.39,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
514,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Hotel Marilu
526,Thanatpin,MM,89.78,clear sky,17.2119,96.3033,Lo Ta Ya Garden
529,Abonnema,NG,76.64,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
534,Salur,IN,84.07,scattered clouds,18.5333,83.2167,Pradeep
535,Sorong,ID,84.65,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
539,Kirakira,SB,82.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
548,Dubai,AE,85.21,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
550,Castelo Do Piaui,BR,78.01,light rain,-5.3222,-41.5525,Nobre Hotel
553,Mayumba,GA,75.02,heavy intensity rain,-3.432,10.6554,LIKWALE LODGE
559,Kulhudhuffushi,MV,81.41,overcast clouds,6.6221,73.07,Haajy Guest House 1
562,Gizo,SB,85.28,light rain,-8.103,156.8419,Imagination Island
563,Itarema,BR,80.2,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
565,Alyangula,AU,89.62,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
571,Port-Gentil,GA,79.2,light rain,-0.7193,8.7815,Fengshui Residence
573,Benguela,AO,76.57,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
587,Kalmunai,LK,77.74,overcast clouds,7.4167,81.8167,VS Villa
589,Cartagena,CO,80.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
593,Tanuku,IN,86.36,few clouds,16.75,81.7,Hotel Sri Devi Residency
599,Kailua,US,78.78,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
601,Kieta,PG,84.52,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
602,Totness,SR,77.18,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
611,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
612,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
616,Gwadar,PK,78.13,scattered clouds,25.1216,62.3254,Sadaf Resort
618,Lahaina,US,76.75,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
622,Hobyo,SO,81.18,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
624,Tautira,PF,78.82,overcast clouds,-17.7333,-149.15,Pension Oaoa
626,Passagem Franca,BR,75.34,overcast clouds,-6.1797,-43.7836,Hotel Brasil
632,Vanimo,PG,84.49,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
633,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
634,Naifaru,MV,81.43,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
644,Sinnamary,GF,77.45,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
649,Soe,ID,85.53,broken clouds,-9.8607,124.284,Dena Hotel
652,Pedernales,DO,77.92,scattered clouds,18.0384,-71.744,Hotel Costa Marina
653,Monkey Bay,MW,82.58,overcast clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
657,Yeppoon,AU,80.38,scattered clouds,-23.1333,150.7333,Villa Mar Colina
667,Acarau,BR,80.02,light rain,-2.8856,-40.12,castelo pizzaria
674,Sur,OM,80.73,broken clouds,22.5667,59.5289,Sur Plaza Hotel
679,Tevaitoa,PF,81.0,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
684,Trairi,BR,79.97,overcast clouds,-3.2778,-39.2689,janelas do mar
685,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
686,Mwanza,TZ,75.0,light rain,-2.5167,32.9,Gold Crest Hotel
688,Lamu,KE,84.42,overcast clouds,-2.2717,40.902,Lamu House
